,extended,crit3,suicide,property,targtype1,attacktype1,gname,weaptype1,country_txt,success
1096,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1100,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1102,0,1,0,1,12,3,Irish Republican Army (IRA),6,United Kingdom,1
1105,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1106,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1107,0,1,0,1,1,7,Basque Fatherland and Freedom (ETA),8,Spain,1
1108,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1109,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1114,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1116,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1118,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1121,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1125,1,1,0,0,1,6,Basque Fatherland and Freedom (ETA),13,Spain,1
1127,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1138,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1139,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1147,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1149,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1156,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
1158,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1159,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1160,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1161,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1162,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1168,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1175,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1176,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1178,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom,1
1179,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1180,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1182,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
1184,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1186,0,1,0,0,6,4,Palestinians,6,India,1
1188,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1189,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1193,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1195,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1199,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,0
1200,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1204,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1208,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1209,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1213,0,1,0,1,1,2,Basque Fatherland and Freedom (ETA),5,Spain,1
1214,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1215,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1217,0,0,0,1,4,2,Irish Republican Army (IRA),8,United Kingdom,1
1218,0,1,0,0,17,2,Irish Republican Army (IRA),5,United Kingdom,0
1223,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
1226,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1227,0,1,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1231,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1237,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1243,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom,1
1244,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1247,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1249,0,1,0,1,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1250,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1251,0,1,0,1,1,1,Basque Fatherland and Freedom (ETA),6,Spain,1
1267,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1274,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1275,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1280,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1284,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1289,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1291,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1296,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,0
1297,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1306,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1309,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1312,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
1315,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1316,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1326,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1328,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1329,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1330,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1331,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1332,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
1334,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1338,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1339,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1344,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1346,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom,1
1347,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1349,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1351,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1353,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1354,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1355,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1357,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1365,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1368,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom,1
1370,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1375,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1376,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1377,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1380,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1381,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1382,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1383,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1388,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1389,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1390,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1391,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1393,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1394,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1395,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1396,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1398,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom,1
1401,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1402,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom,0
1403,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1406,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom,1
1408,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1410,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1418,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1420,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1421,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1425,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1426,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1431,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1432,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1435,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1439,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1440,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1441,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1445,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1447,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1451,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1452,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1453,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1454,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1455,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1459,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1460,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1461,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1462,0,1,0,0,3,1,Basque Fatherland and Freedom (ETA),5,Spain,1
1465,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1472,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1476,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1480,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1497,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1498,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1538,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1541,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1555,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1556,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1569,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1573,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1575,0,1,0,1,7,3,Palestinians,6,West Germany (FRG),1
1576,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1577,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1578,0,1,0,0,17,6,Irish Republican Army (IRA),13,United Kingdom,1
1580,0,1,0,0,10,6,Irish Republican Army (IRA),5,United Kingdom,1
1585,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1590,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1594,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1598,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1600,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1601,0,1,0,0,2,1,Irish Republican Army (IRA),5,United Kingdom,1
1604,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1608,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1616,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1619,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1621,0,1,0,0,10,9,Palestinians,13,France,1
1623,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1626,0,1,0,1,3,1,Irish Republican Army (IRA),6,United Kingdom,1
1627,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1629,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1636,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1637,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1640,1,1,0,0,8,6,National Liberation Army of Colombia (ELN),13,Colombia,1
1647,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1652,0,1,0,0,14,6,Irish Republican Army (IRA),13,United Kingdom,1
1654,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1656,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1659,0,1,0,0,3,2,Irish Republican Army (IRA),5,United Kingdom,1
1668,0,1,0,0,2,6,Irish Republican Army (IRA),5,United Kingdom,1
1671,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,1
1683,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,0
1690,1,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia,1
1695,0,0,0,0,4,1,Irish Republican Army (IRA),13,United Kingdom,1
1696,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1701,0,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia,1
1706,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
1707,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
1708,1,1,0,0,14,6,Basque Fatherland and Freedom (ETA),13,Spain,1
1712,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1732,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom,1
1736,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1739,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1748,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1749,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1751,0,1,0,0,17,6,Irish Republican Army (IRA),5,United Kingdom,1
1752,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1755,0,1,0,1,17,3,Irish Republican Army (IRA),5,United Kingdom,1
1757,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1763,0,1,0,1,14,3,Basque Fatherland and Freedom (ETA),6,Spain,1
1765,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1766,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1767,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1768,0,1,0,1,14,2,Irish Republican Army (IRA),5,United Kingdom,1
1769,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1771,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1779,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1781,0,1,0,1,11,3,Palestinians,6,Lebanon,1
1782,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1787,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1788,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1789,0,1,0,1,2,3,Irish Republican Army (IRA),6,United Kingdom,1
1791,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1794,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1795,0,1,0,0,7,3,Palestinians,6,France,0
1796,0,1,0,0,7,3,Palestinians,6,France,0
1798,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom,1
1800,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1807,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1810,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1816,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1828,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1835,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1837,0,1,0,1,1,3,Palestinians,6,Lebanon,1
1855,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1858,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1868,0,1,0,0,7,3,Palestinians,6,Lebanon,1
1870,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1872,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1874,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1879,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1882,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1883,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1886,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1889,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,0
1901,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1904,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom,1
1914,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1915,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1920,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
1926,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1927,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1930,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
1932,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1940,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1942,0,1,0,0,14,4,Irish Republican Army (IRA),8,United Kingdom,1
1950,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1952,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1954,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1956,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
1957,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
1959,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
1977,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,1
1983,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
1985,0,1,0,1,1,7,Irish Republican Army (IRA),8,United Kingdom,1
1986,0,1,0,1,2,7,Irish Republican Army (IRA),8,United Kingdom,1
1987,0,1,0,1,2,3,Irish Republican Army (IRA),6,United Kingdom,1
1988,0,1,0,1,1,7,Irish Republican Army (IRA),8,United Kingdom,1
1989,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1994,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1995,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1997,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
1999,0,1,0,1,7,3,Irish Republican Army (IRA),6,United States,1
2001,0,1,0,0,2,3,Irish Republican Army (IRA),6,United States,0
2002,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2004,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
2005,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2013,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
2016,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2017,0,1,0,1,19,3,Irish Republican Army (IRA),6,United Kingdom,1
2030,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
2034,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,0
2046,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
2047,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2048,1,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia,1
2063,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom,1
2066,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
2074,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2079,0,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia,1
2086,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2089,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
2090,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2091,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2092,0,0,0,1,4,2,Irish Republican Army (IRA),5,United Kingdom,1
2103,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
2104,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
2106,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2111,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom,1
2113,0,1,0,0,14,4,Irish Republican Army (IRA),13,United Kingdom,0
2116,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
2120,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom,0
2122,0,1,0,1,14,3,Palestinians,6,Israel,1
2127,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom,1
2128,0,1,0,1,3,1,Irish Republican Army (IRA),6,United Kingdom,1
2135,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom,1
2136,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
2137,0,1,0,0,2,1,Irish Republican Army (IRA),6,United Kingdom,0
