,extended,crit3,suicide,property,targtype1,attacktype1,gname,weaptype1,country_txt
1088,0,1,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1089,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1090,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1091,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1093,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1094,0,1,0,1,2,3,Basque Fatherland and Freedom (ETA),6,Spain
1096,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1100,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1102,0,1,0,1,12,3,Irish Republican Army (IRA),6,United Kingdom
1105,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1106,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1107,0,1,0,1,1,7,Basque Fatherland and Freedom (ETA),8,Spain
1108,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1109,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1114,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1116,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1118,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1121,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1125,1,1,0,0,1,6,Basque Fatherland and Freedom (ETA),13,Spain
1127,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1138,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1139,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1147,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1149,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1156,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom
1158,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1159,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1160,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1161,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1162,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1168,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1175,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1176,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1178,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom
1179,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1180,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1182,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
1184,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1186,0,1,0,0,6,4,Palestinians,6,India
1188,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1189,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1193,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1195,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1199,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1200,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1204,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1208,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1209,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1213,0,1,0,1,1,2,Basque Fatherland and Freedom (ETA),5,Spain
1214,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1215,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1217,0,0,0,1,4,2,Irish Republican Army (IRA),8,United Kingdom
1218,0,1,0,0,17,2,Irish Republican Army (IRA),5,United Kingdom
1223,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom
1226,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1227,0,1,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1231,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1237,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1243,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom
1244,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1247,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1249,0,1,0,1,4,1,Irish Republican Army (IRA),5,United Kingdom
1250,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1251,0,1,0,1,1,1,Basque Fatherland and Freedom (ETA),6,Spain
1267,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1274,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1275,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1280,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1284,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1289,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1291,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1296,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1297,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1306,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1309,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1312,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
1315,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1316,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1326,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1328,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1329,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1330,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1331,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1332,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom
1334,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1338,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1339,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1344,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1346,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom
1347,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1349,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1351,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1353,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1354,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1355,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1357,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1365,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1368,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom
1370,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1375,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1376,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1377,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1380,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1381,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1382,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1383,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1388,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1389,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1390,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1391,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1393,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1394,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1395,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1396,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1398,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
1401,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1402,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom
1403,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1406,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom
1408,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1410,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1418,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1420,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1421,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1425,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1426,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1431,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1432,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1435,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1439,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1440,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1441,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1445,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1447,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1451,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1452,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1453,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1454,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1455,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1459,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1460,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1461,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1462,0,1,0,0,3,1,Basque Fatherland and Freedom (ETA),5,Spain
1465,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1472,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1476,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1480,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1497,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1498,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1538,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1541,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1555,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1556,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1569,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1573,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1575,0,1,0,1,7,3,Palestinians,6,West Germany (FRG)
1576,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1577,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1578,0,1,0,0,17,6,Irish Republican Army (IRA),13,United Kingdom
1580,0,1,0,0,10,6,Irish Republican Army (IRA),5,United Kingdom
1585,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1590,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1594,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1598,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1600,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1601,0,1,0,0,2,1,Irish Republican Army (IRA),5,United Kingdom
1604,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1608,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1616,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1619,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1621,0,1,0,0,10,9,Palestinians,13,France
1623,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1626,0,1,0,1,3,1,Irish Republican Army (IRA),6,United Kingdom
1627,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1629,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1636,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1637,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1640,1,1,0,0,8,6,National Liberation Army of Colombia (ELN),13,Colombia
1647,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1652,0,1,0,0,14,6,Irish Republican Army (IRA),13,United Kingdom
1654,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1656,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1659,0,1,0,0,3,2,Irish Republican Army (IRA),5,United Kingdom
1668,0,1,0,0,2,6,Irish Republican Army (IRA),5,United Kingdom
1671,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1683,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
1690,1,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia
1695,0,0,0,0,4,1,Irish Republican Army (IRA),13,United Kingdom
1696,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1701,0,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia
1706,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom
1707,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom
1708,1,1,0,0,14,6,Basque Fatherland and Freedom (ETA),13,Spain
1712,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1732,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom
1736,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1739,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1748,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1749,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1751,0,1,0,0,17,6,Irish Republican Army (IRA),5,United Kingdom
1752,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1755,0,1,0,1,17,3,Irish Republican Army (IRA),5,United Kingdom
1757,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1763,0,1,0,1,14,3,Basque Fatherland and Freedom (ETA),6,Spain
1765,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1766,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1767,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1768,0,1,0,1,14,2,Irish Republican Army (IRA),5,United Kingdom
1769,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1771,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1779,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1781,0,1,0,1,11,3,Palestinians,6,Lebanon
1782,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1787,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1788,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1789,0,1,0,1,2,3,Irish Republican Army (IRA),6,United Kingdom
1791,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1794,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1795,0,1,0,0,7,3,Palestinians,6,France
1796,0,1,0,0,7,3,Palestinians,6,France
1798,0,0,0,0,4,6,Irish Republican Army (IRA),5,United Kingdom
1800,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1807,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1810,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1816,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1828,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1835,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1837,0,1,0,1,1,3,Palestinians,6,Lebanon
1855,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1858,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1868,0,1,0,0,7,3,Palestinians,6,Lebanon
1870,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1872,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1874,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1879,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1882,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1883,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1886,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1889,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1901,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1904,0,1,0,0,14,2,Irish Republican Army (IRA),5,United Kingdom
1914,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1915,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1920,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
1926,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1927,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1930,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
1932,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1940,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1942,0,1,0,0,14,4,Irish Republican Army (IRA),8,United Kingdom
1950,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1952,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1954,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1956,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
1957,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
1959,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
1977,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
1983,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
1985,0,1,0,1,1,7,Irish Republican Army (IRA),8,United Kingdom
1986,0,1,0,1,2,7,Irish Republican Army (IRA),8,United Kingdom
1987,0,1,0,1,2,3,Irish Republican Army (IRA),6,United Kingdom
1988,0,1,0,1,1,7,Irish Republican Army (IRA),8,United Kingdom
1989,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1994,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1995,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1997,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
1999,0,1,0,1,7,3,Irish Republican Army (IRA),6,United States
2001,0,1,0,0,2,3,Irish Republican Army (IRA),6,United States
2002,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2004,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2005,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2013,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
2016,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2017,0,1,0,1,19,3,Irish Republican Army (IRA),6,United Kingdom
2030,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
2034,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2046,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2047,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2048,1,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia
2063,0,1,0,1,14,3,Irish Republican Army (IRA),6,United Kingdom
2066,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
2074,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2079,0,1,0,0,1,6,National Liberation Army of Colombia (ELN),13,Colombia
2086,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2089,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
2090,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2091,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2092,0,0,0,1,4,2,Irish Republican Army (IRA),5,United Kingdom
2103,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2104,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2106,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2111,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
2113,0,1,0,0,14,4,Irish Republican Army (IRA),13,United Kingdom
2116,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
2120,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
2122,0,1,0,1,14,3,Palestinians,6,Israel
2127,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2128,0,1,0,1,3,1,Irish Republican Army (IRA),6,United Kingdom
2135,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
2136,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom
2137,0,1,0,0,2,1,Irish Republican Army (IRA),6,United Kingdom
2140,0,1,0,1,2,3,Irish Republican Army (IRA),6,United Kingdom
2141,0,1,0,0,2,1,Basque Fatherland and Freedom (ETA),6,Spain
2142,0,1,0,0,14,1,Irish Republican Army (IRA),5,United Kingdom
2146,0,1,0,1,1,3,Irish Republican Army (IRA),6,United Kingdom
2147,0,0,0,0,4,1,Irish Republican Army (IRA),6,United Kingdom
2162,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2167,0,1,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2172,0,0,0,0,4,1,Irish Republican Army (IRA),6,United Kingdom
2173,0,0,0,0,4,1,Irish Republican Army (IRA),6,United Kingdom
2186,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2192,0,0,0,0,4,1,Irish Republican Army (IRA),5,United Kingdom
2193,0,1,0,0,15,1,Irish Republican Army (IRA),6,United Kingdom
2194,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2197,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom
2198,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
2205,0,0,0,0,4,2,Irish Republican Army (IRA),5,United Kingdom
2206,0,1,0,0,3,1,Irish Republican Army (IRA),5,United Kingdom
2208,0,1,0,0,2,1,Irish Republican Army (IRA),6,United Kingdom
2218,0,1,0,1,1,2,Irish Republican Army (IRA),5,United Kingdom
2220,0,1,0,0,2,1,Irish Republican Army (IRA),6,United Kingdom
